,Relative_yield_change,yield_of_CT,Latitude,Longitude,Years_since_CT_started,Crop_rotation_CT,Crop_rotation_NT,ST,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Weed_pest_control_CT,Weed_pest_control_NT,P,E,PB,Tave,Tmax,Tmin
3922,-0.43,8790.0,44.87,20.33,31,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,274.8,541.274,-266.474,18.92857,29.82978,8.56115
884,-0.0238,1682.0,19.52,-98.83,5,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,1068.1,661.247,406.853,13.44286,24.50043,6.99138
3013,-0.3387,6200.0,45.63,-72.9,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,695.2,449.951,245.249,15.4,26.30599,2.38646
880,-0.1081,5115.0,19.52,-98.83,4,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,989.4,684.772,304.628,13.0,24.19251,6.46757
3861,0.2012,6560.0,19.52,-98.83,18,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,750.0,659.37,90.63,12.34286,23.2259,5.94151
3352,-0.0857,8247.0,29.07,77.77,5,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,912.1,464.142,447.958,29.68,39.81103,20.43515
520,-0.3227,4937.0,32.45,-89.4,7,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,588.1,541.79,46.31,24.8,32.78049,16.45278
3140,0.0488,8190.0,-37.75,-58.3,1,0,0,1,1435.0,1435.0,1435.0,1435.0,0.0,0.0,693.9,605.484,88.416,17.51429,25.78936,8.37571
533,-0.1618,13600.0,42.95,-92.53,35,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,451.9,497.046,-45.146,18.16667,30.66593,4.51232
873,-0.06,4014.0,19.52,-98.83,3,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,911.3,680.005,231.295,13.5,23.79651,5.48964
1733,-0.0652,4568.0,-0.52,37.27,1,1,1,3,1435.0,976.0,1435.0,976.0,0.0,0.0,565.7,780.391,-214.691,21.325,30.64233,15.96019
2492,-0.2,500.0,-2.35,30.25,2,0,0,3,1435.0,976.0,1435.0,976.0,0.0,0.0,558.3,512.182,46.118,24.425,26.6788,17.19974
1043,-0.0645,3100.0,31.53,75.91,4,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,660.6,519.729,140.871,29.08,36.08873,16.77941
1414,0.04,5000.0,31.38,72.03,3,1,1,0,976.0,976.0,976.0,976.0,0.0,0.0,489.9,406.5,83.4,30.62,38.91278,19.24657
40,-0.0758,2110.0,45.42,-73.93,2,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,555.9,493.022,62.878,15.7,26.54872,0.79462
1581,-0.154,11490.0,45.61,17.86,5,0,0,0,976.0,976.0,976.0,976.0,0.0,0.0,489.5,512.061,-22.561,17.58571,29.77124,5.90084
881,-0.1683,4355.0,19.52,-98.83,4,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,989.4,684.772,304.628,13.0,24.19251,6.46757
1453,-0.0797,6270.0,38.0,-84.5,11,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,440.8,546.337,-105.537,21.26667,31.14711,6.27729
518,-0.0399,8265.0,32.45,-89.4,5,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,564.7,509.933,54.767,24.04,31.73262,14.99683
2527,-0.0858,4758.0,-14.49,35.25,3,1,1,1,1435.0,976.0,1435.0,976.0,0.0,0.0,724.3,1020.887,-296.587,30.075,31.11509,17.37379
