yield_of_CT,Tmax,Tmin,Relative_yield_change
10260.0,30.01398,6.87157,-0.1598
7733.0,29.89469,7.46473,0.1906
677.0,38.53233,11.99749,-0.1625
415.0,25.16097,8.72194,-0.0024
10155.67596,33.44086,3.20611,0.1788
4000.0,26.04839,-4.40017,0.1
9443.0,23.96254,-1.04606,-0.0122
8660.0,24.49918,5.16301,0.0277
6545.0,30.69705,6.48635,-0.0677
10997.0,18.98313,1.90458,0.0818
11409.0,29.51555,5.9568,0.0148
9400.0,41.81672,19.74682,0.0745
9300.0,30.73293,0.53368,-0.0215
12600.0,34.42293,4.30335,-0.0635
10270.0,29.82978,8.56115,-0.5579
6287.0,27.27658,-4.86435,-0.3324
14840.0,25.99166,2.8238,-0.0315
12300.0,30.48053,8.29936,0.0
12191.0,32.5615,4.90113,-0.0063
3693.0,33.61996,4.84391,-0.0463
9700.0,29.48987,4.37156,0.0
9880.0,30.04158,0.34914,-0.0304
6420.0,31.36214,3.60353,-0.0093
6193.0,25.88517,12.58576,-0.0743
6800.0,31.51285,5.7009,-0.2662
8600.0,31.09296,5.60768,-0.1512
